Monitoring Location ID,Monitoring Location Name,Monitoring Location Latitude,Monitoring Location Longitude,Monitoring Location Type,Activity Start Date,Result Status,Characteristic Name,Method Speciation,Sample Fraction,Result Value,Result Unit
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,08-14-1990,Final,Turbidity,,Total,45.0,NTU
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,08-14-1990,Final,pH,,Total,8.3,None
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,08-14-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.028,mg/l
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,08-14-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,28.0,ug/l
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,08-14-1990,Final,Total dissolved solids,,,1238,mg/l
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,08-14-1990,Final,"Temperature, water",,,23.7,deg C
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,09-12-1990,Final,pH,,Total,8.0,None
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,09-12-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.021,mg/l
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,09-12-1990,Final,"Temperature, water",,,23.6,deg C
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,09-12-1990,Final,Dissolved oxygen (DO),,Total,6.7,mg/l
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,09-12-1990,Final,pH,,Total,8.6,None
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,09-12-1990,Final,"Depth, Secchi disk depth",,Total,0.1,m
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,09-12-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,10.4,ug/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,09-12-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.029,mg/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,09-12-1990,Final,"Depth, Secchi disk depth",,Total,0.7,m
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,09-12-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,10.4,ug/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,09-12-1990,Final,Dissolved oxygen (DO),,Total,6.4,mg/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,09-12-1990,Final,"Temperature, water",,,24.2,deg C
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,09-12-1990,Final,pH,,Total,8.7,None
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,09-12-1990,Final,pH,,Total,8.3,None
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,09-12-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,37.9,ug/l
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,09-12-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.038,mg/l
